symbol,date,rows,predictor_count,label_count,first_decision_time_ns,last_decision_time_ns,primary_label_nulls,mean_spot_trades_1s,mean_perpetual_trades_1s,mean_log_basis,std_log_basis,std_target_spot_return_5s
BTCUSDT,2025-02-01,86394,157,6,1738368006000000000,1738454399000000000,4,9.943665069333518,9.636514109776142,-0.00043885629133634866,0.00007562557216274381,0.00009956936180405321
ETHUSDT,2025-02-01,86394,157,6,1738368006000000000,1738454399000000000,4,11.286744449846054,16.869852073060628,-0.00041570809440579556,0.000076304019675769,0.00021810459728426715
BTCUSDT,2025-02-02,86399,157,6,1738454401000000000,1738540799000000000,4,28.5988032268892,24.821421544230837,-0.0004365109466364528,0.00008986720706050757,0.00024263231656834836
ETHUSDT,2025-02-02,86397,157,6,1738454403000000000,1738540799000000000,4,27.595194277579083,36.72609002627406,-0.0004378571375942135,0.00010651464481984513,0.0004613725673627794
BTCUSDT,2025-02-03,86399,157,6,1738540801000000000,1738627199000000000,4,54.89342469241542,52.7515943471568,-0.0004347900391165776,0.00013559665872568962,0.0004300925792460789
ETHUSDT,2025-02-03,86395,157,6,1738540805000000000,1738627199000000000,4,66.96109728572256,83.72167370796922,-0.0006778333479064805,0.0005146868993297786,0.0009934541020516223
BTCUSDT,2025-02-04,86399,157,6,1738627201000000000,1738713599000000000,4,31.1010312619359,29.663063229898494,-0.0004331771373340625,0.00009984975962762142,0.00027783942127679475
ETHUSDT,2025-02-04,86399,157,6,1738627201000000000,1738713599000000000,4,29.443072257780763,45.502575261287745,-0.0005424826499773591,0.00011592886958389245,0.000522881661720738
BTCUSDT,2025-02-05,86399,157,6,1738713601000000000,1738799999000000000,4,18.837336080278707,18.173844604682923,-0.000462185165323076,0.00009494853770902184,0.00019372637802401692
ETHUSDT,2025-02-05,86399,157,6,1738713601000000000,1738799999000000000,4,19.7336427504948,28.750714707346148,-0.0004855179403038766,0.00008721239302387201,0.0003823295355407403
BTCUSDT,2025-02-06,86399,157,6,1738800001000000000,1738886399000000000,4,17.563779673375848,17.94046227386891,-0.0004400158445756941,0.00009082394418973052,0.00018441439817147538
ETHUSDT,2025-02-06,86395,157,6,1738800005000000000,1738886399000000000,4,18.624943573123446,25.894484634527462,-0.0005016307163361193,0.0000921351712619138,0.0003399965687056613
BTCUSDT,2025-02-07,86399,157,6,1738886401000000000,1738972799000000000,4,19.731189018391415,21.50626743365085,-0.0004637649966319329,0.0000894448097135571,0.00021037388101536464
ETHUSDT,2025-02-07,86395,157,6,1738886405000000000,1738972799000000000,4,17.751906939058973,25.845639215232364,-0.0004980720512327274,0.00008701015788586323,0.0003420179457605233
BTCUSDT,2025-02-08,86395,157,6,1738972805000000000,1739059199000000000,4,7.752578274205683,7.374037849412582,-0.0004695301632453732,0.00008360287009408595,0.00008717125519028479
ETHUSDT,2025-02-08,86399,157,6,1738972801000000000,1739059199000000000,4,10.3811502447945,13.097223347492449,-0.00045936290219318317,0.00007587500853031398,0.00022339257073974845
BTCUSDT,2025-02-09,86395,157,6,1739059205000000000,1739145599000000000,4,9.802939984952832,9.611019156201168,-0.0004351703115191136,0.00008302519846723826,0.00012602888765190302
