fold,task,model,scope,train_rows,evaluation_rows,oos_r2,mse,mae,pearson_ic,rank_ic,roc_auc,pr_auc,brier,accuracy,class_balance
1,regression,training_mean,reference,863909,431948,0.0,3.6844916674836837e-8,0.00010595752094233959,0.0,0.0,,,,,
1,regression,zero_return,reference,863909,431948,-5.1952577795333355e-9,3.684491686625324e-8,0.00010595749064146906,0.0,0.0,,,,,
1,regression,linear,baseline,863909,431948,0.009365610727192664,3.6499841527982114e-8,0.00010860737792517583,0.09691316814071159,0.1292042518299007,,,,,
1,regression,linear,expanded,863909,431948,0.022956783234567513,3.5999075909434656e-8,0.00010834879982814587,0.15288661979999502,0.21681051293064918,,,,,
1,regression,ridge,baseline,863909,431948,0.009365614917314025,3.649984137359751e-8,0.00010860737469307434,0.09691318951129743,0.12920426732185394,,,,,
1,regression,ridge,expanded,863909,431948,0.022993799265269455,3.5997712056867804e-8,0.00010834813611641545,0.1530248126269873,0.21680940424350895,,,,,
1,classification,logistic,baseline,863909,431948,,,,,,0.590299480714459,0.4767585189522924,0.2347857838183192,0.6062998323872318,0.3991151712706159
1,classification,logistic,expanded,863909,431948,,,,,,0.6342982498983583,0.517995215483852,0.22808473135617438,0.6252581329234075,0.3991151712706159
2,regression,training_mean,reference,1295866,431951,0.0,9.498864322260883e-8,0.00016888198599175196,0.0,0.0,,,,,
2,regression,zero_return,reference,1295866,431951,-2.6908323302876624e-6,9.498889882111842e-8,0.00016884120879910315,0.0,0.0,,,,,
2,regression,linear,baseline,1295866,431951,0.007307332066306738,9.429452966405045e-8,0.0001701135265993331,0.08597069030074724,0.12237046149282277,,,,,
2,regression,linear,expanded,1295866,431951,0.008357186977808961,9.419480537042652e-8,0.00017041041037088537,0.09879615244087267,0.17525006296355372,,,,,
2,regression,ridge,baseline,1295866,431951,0.007307336664948871,9.4294529227232e-8,0.0001701135254563493,0.0859707256093126,0.1223704625303773,,,,,
2,regression,ridge,expanded,1295866,431951,0.008357081935449484,9.419481534825778e-8,0.00017041042792242226,0.09879532524705802,0.17525002175076052,,,,,
2,classification,logistic,baseline,1295866,431951,,,,,,0.576291401921415,0.49222152945362696,0.24500087972412918,0.5699720570157263,0.4346835636449505
2,classification,logistic,expanded,1295866,431951,,,,,,0.6086006224080545,0.5134961552285457,0.2439609112285875,0.5883398811439261,0.4346835636449505
3,regression,training_mean,reference,1727821,431951,0.0,4.7203080212657516e-8,0.00009637354115883254,0.0,0.0,,,,,
3,regression,zero_return,reference,1727821,431951,8.025678069234488e-6,4.720270137589563e-8,0.00009624454009365098,0.0,0.0,,,,,
3,regression,linear,baseline,1727821,431951,0.007099080144962411,4.686798176310359e-8,0.00010021391564681846,0.08502562595534659,0.12309226853328009,,,,,
3,regression,linear,expanded,1727821,431951,0.01662512673699501,4.64183230217108e-8,0.00010051574008063059,0.12902842853486834,0.219959550930878,,,,,
3,regression,ridge,baseline,1727821,431951,0.007099081410410379,4.686798170337026e-8,0.0001002139140055445,0.08502562839321534,0.12309227551114049,,,,,
3,regression,ridge,expanded,1727821,431951,0.016625065240398418,4.641832592453931e-8,0.00010051576508743962,0.12902819605761268,0.2199591933521301,,,,,
3,classification,logistic,baseline,1727821,431951,,,,,,0.590215399439012,0.46030920236044537,0.2323855701592979,0.6164588113003558,0.38528907214012703
3,classification,logistic,expanded,1727821,431951,,,,,,0.6344745206108314,0.5025446797024882,0.22517196284716115,0.6361253938525434,0.38528907214012703
4,regression,training_mean,reference,2159781,431951,0.0,4.216939820691396e-8,0.00011720896400685659,5.2727822389794714e-17,0.0,,,,,
4,regression,zero_return,reference,2159781,431951,1.0288603560226761e-6,4.2169354820499176e-8,0.00011716175505198488,0.0,0.0,,,,,
4,regression,linear,baseline,2159781,431951,0.005467486071076055,4.193883760959947e-8,0.00011979479143665026,0.07733111955083333,0.11846216607915985,,,,,
4,regression,linear,expanded,2159781,431951,0.01988051542706637,4.1331048835318703e-8,0.00011944186318206731,0.14100704640454845,0.20931850818652342,,,,,
4,regression,ridge,baseline,2159781,431951,0.005467487296600626,4.193883755791977e-8,0.0001197947905135767,0.07733111892222579,0.1184621644112376,,,,,
4,regression,ridge,expanded,2159781,431951,0.019880651329798327,4.1331043104382377e-8,0.00011944183944827685,0.1410075221607187,0.20931835250173667,,,,,
4,classification,logistic,baseline,2159781,431951,,,,,,0.5862370779651975,0.4832651674059532,0.23820142621599258,0.588728814147901,0.4149544740028383
4,classification,logistic,expanded,2159781,431951,,,,,,0.6306117386956755,0.526861530578677,0.23148890412912237,0.6114999154996748,0.4149544740028383
