symbol,regime,development_volatility_threshold,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
BTCUSDT,low,0.00004522705732125088,60564,2.5095072168309396,42.3948,-39.88529278316906,0.1868736474710648,121128.0,-96.56605566100694,-96.56605566100694,-1.0,0.0017997490258239218,0.00019924903901941617,-0.0006601110070039231,5.331841734858992,0.4143562540173931,0.06238954370603735
BTCUSDT,high,0.00004522705732125088,87816,3.407689838816018,61.471199999999996,-58.063510161183984,0.2658196304849537,175632.0,-35.01924241694419,-35.01924241694419,-1.0,0.014131821080440922,0.0003568429763862353,-0.0006757880715550598,5.230667776692175,0.38804885656554816,0.12018840926213092
ETHUSDT,low,0.00009702805554867659,67675,2.858656110172979,47.37249999999999,-44.513843889827015,0.21693262257465276,135350.0,-45.2723532197681,-45.2723532197681,-1.0,0.005718507572958996,0.00021961218219632262,-0.0006628051629463945,5.539114470764684,0.42240947324314426,0.07882158283905014
ETHUSDT,high,0.00009702805554867659,118163,3.487823000966061,82.71409999999999,-79.22627699903393,0.36317198851273147,236326.0,-43.63638311430213,-43.63638311430213,-1.0,0.04649509575755524,0.0004901209000699665,-0.0007270766690395613,5.3109788694430575,0.29517048492049636,0.10154801621345447
