model,metric,estimate,lower,upper,probability_positive,days
linear,daily_mse_improvement,4.144831247108539e-10,1.6935802496991765e-10,5.860788210202956e-10,0.9985,20
ridge,daily_mse_improvement,4.1482212144785585e-10,1.6968981164012148e-10,5.864390916012859e-10,0.9985,20
