symbol,horizon_ms,model,scope,train_rows,confirmation_rows,oos_r2,mse,mae,pearson_ic,rank_ic
ETHUSDT,5000,ridge,baseline,2591742,1727852,0.004566330317597567,1.3122809080098556e-7,0.000199311709977189,0.06821100667819838,0.0844285235485114
ETHUSDT,5000,ridge,expanded,2591742,1727852,0.013072897654001325,1.301066694297522e-7,0.00019861007685801724,0.11438633939968067,0.16256847471543795
