entity,date,trades,gross_pnl,cost_pnl,net_pnl
BTCUSDT,2025-02-01,6166,0.28041737444731096,4.316199999999999,-4.03578262555269
BTCUSDT,2025-02-02,9784,0.43270697988840723,6.8488,-6.416093020111592
BTCUSDT,2025-02-03,11424,0.3118090846807776,7.9968,-7.684990915319222
BTCUSDT,2025-02-04,10623,0.4282270890327269,7.436100000000001,-7.007872910967274
BTCUSDT,2025-02-05,9412,0.41172389020976863,6.5884,-6.176676109790231
BTCUSDT,2025-02-06,8993,0.3861639675991475,6.2951,-5.908936032400852
BTCUSDT,2025-02-07,9087,0.3427598505179321,6.3609,-6.018140149482068
BTCUSDT,2025-02-08,5917,0.22633145852538272,4.1419,-3.9155685414746175
BTCUSDT,2025-02-09,6124,0.25898804394533437,4.2867999999999995,-4.0278119560546655
BTCUSDT,2025-02-10,7866,0.33312385485897056,5.506199999999998,-5.173076145141028
BTCUSDT,2025-02-11,7356,0.33928616428852265,5.149199999999999,-4.809913835711477
BTCUSDT,2025-02-12,7873,0.3432461323976238,5.511099999999999,-5.167853867602376
BTCUSDT,2025-02-13,7702,0.30894365294479453,5.391399999999998,-5.082456347055205
BTCUSDT,2025-02-14,6902,0.2731400222663529,4.8313999999999995,-4.5582599777336466
BTCUSDT,2025-02-15,4178,0.14698590120744737,2.924599999999999,-2.7776140987925526
BTCUSDT,2025-02-16,3864,0.14303652955146573,2.704799999999999,-2.5617634704485335
BTCUSDT,2025-02-17,6008,0.2345298890135029,4.2056,-3.971070110986497
BTCUSDT,2025-02-18,7209,0.28197729079810696,5.046299999999999,-4.764322709201893
BTCUSDT,2025-02-19,6188,0.23802037365499573,4.3316,-4.093579626345004
BTCUSDT,2025-02-20,5704,0.19577950581838677,3.9928,-3.7970204941816132
ETHUSDT,2025-02-01,8672,0.371908445583054,6.0704,-5.698491554416947
ETHUSDT,2025-02-02,10088,0.42980496633035226,7.0616,-6.631795033669649
ETHUSDT,2025-02-03,11971,0.1906209632388559,8.3797,-8.189079036761145
ETHUSDT,2025-02-04,11140,0.21810363366471497,7.798,-7.579896366335285
ETHUSDT,2025-02-05,10340,0.27949080968126405,7.2379999999999995,-6.958509190318737
ETHUSDT,2025-02-06,10040,0.26560298933102733,7.028,-6.762397010668973
ETHUSDT,2025-02-07,10115,0.24940180721026628,7.080500000000001,-6.831098192789734
ETHUSDT,2025-02-08,8834,0.3618825218552807,6.1838,-5.821917478144719
ETHUSDT,2025-02-09,8609,0.30039352419462007,6.026299999999999,-5.72590647580538
ETHUSDT,2025-02-10,9111,0.34496452767024754,6.3777,-6.032735472329753
ETHUSDT,2025-02-11,9145,0.3754615974417477,6.4015,-6.026038402558253
ETHUSDT,2025-02-12,9671,0.3245125666387496,6.769699999999999,-6.445187433361251
ETHUSDT,2025-02-13,9176,0.3189677560278982,6.4232,-6.104232243972102
ETHUSDT,2025-02-14,8567,0.34133889335907375,5.996899999999999,-5.655561106640926
ETHUSDT,2025-02-15,7516,0.28849889334953793,5.261199999999999,-4.972701106650462
ETHUSDT,2025-02-16,7519,0.30217272914573234,5.263299999999998,-4.961127270854266
ETHUSDT,2025-02-17,9027,0.38420506020014833,6.318900000000001,-5.9346949397998525
ETHUSDT,2025-02-18,9424,0.3430410409927539,6.5968,-6.253758959007246
ETHUSDT,2025-02-19,8562,0.33950382252182687,5.993399999999999,-5.653896177478172
ETHUSDT,2025-02-20,8311,0.3166025627018887,5.817699999999998,-5.50109743729811
combined,2025-02-01,65,0.0015497676374553186,0.02185785318645639,-0.02030808554900107
combined,2025-02-02,64,0.0020430543982669883,0.02265489908958389,-0.0206118446913169
combined,2025-02-03,49,-0.002549479330171348,0.017532348634375833,-0.020081827964547185
combined,2025-02-04,62,0.0010186636407349692,0.021190201820832217,-0.02017153818009725
combined,2025-02-05,60,0.0009409252672043303,0.020999999999999998,-0.02005907473279567
combined,2025-02-06,73,0.005177799738909551,0.025677449544791946,-0.020499649805882397
combined,2025-02-07,60,0.00027891105400104394,0.020745100910416106,-0.020466189856415067
combined,2025-02-08,63,0.00039415554392717325,0.02090295409687249,-0.02050879855294532
combined,2025-02-09,64,0.0011644722657775173,0.02163530273124833,-0.020470830465470814
combined,2025-02-10,61,0.00045436233724443706,0.021222550455208055,-0.020768188117963614
combined,2025-02-11,63,0.0010582523811819998,0.021412752276040274,-0.020354499894858276
combined,2025-02-12,62,0.000957389508058294,0.02119020182083222,-0.020232812312773928
combined,2025-02-13,67,0.001531406408291162,0.022302954096872496,-0.02077154768858134
combined,2025-02-14,62,0.0005503389435133792,0.02093530273124833,-0.020384963787734953
combined,2025-02-15,64,0.00035786815557423574,0.020615706372912775,-0.020257838217338536
combined,2025-02-16,73,0.0010531616045002736,0.021089265932281928,-0.020036104327781655
combined,2025-02-17,63,0.0014053244565150884,0.02166765136562416,-0.020262326909109073
combined,2025-02-18,69,0.0024035848931282613,0.022748055007288603,-0.020344470114160348
combined,2025-02-19,58,-0.00014450455952638863,0.020045100910416107,-0.0201896054699425
combined,2025-02-20,69,0.001352552008473361,0.021728458648953047,-0.020375906640479686
