symbol,horizon_ms,model,scope,train_rows,confirmation_rows,oos_r2,mse,mae,pearson_ic,rank_ic
BTCUSDT,5000,ridge,baseline,2591742,1727847,0.010311871153917851,3.2490239988467036e-8,0.00009344450417669964,0.1016877068429006,0.1364563128333131
BTCUSDT,5000,ridge,expanded,2591742,1727847,0.024277935044209942,3.2031751345161686e-8,0.0000938812961210102,0.15593332395209358,0.22732091832024828
BTCUSDT,5000,xgboost,expanded,518350,1727847,0.030301537178797244,3.1834003920247216e-8,0.00009265243926500093,0.17479651129785967,0.2565197612983138
