regime,development_threshold,confirmation_rows,oos_r2,mse,mae,pearson_ic,rank_ic
low,0.00004522705732125088,960055,0.03733953212382346,1.1012368051767062e-8,0.00005631872583348312,0.19402079856184146,0.202827990476242
high,0.00004522705732125088,767792,0.021141770365977197,5.8314604028883297e-8,0.0001408499196771189,0.14600105750167464,0.23236431421144801
