entity,latency_ms,roundtrip_cost_bps,sizing,trades,gross_pnl,cost_pnl,net_pnl,exposure,turnover,annualised_daily_sharpe,annualised_daily_sortino,maximum_drawdown,win_rate,average_win,average_loss,average_holding_seconds,break_even_roundtrip_bps,pnl_concentration_largest_day
BTCUSDT,100,0.0,fixed,151952,7.575823155157092,0.0,7.575823155157092,0.46338011485995373,303904.0,58.34718904928684,0.0,0.0,0.5883502685058439,0.00015221800839021062,-0.00014894620050703982,5.269564326089818,0.49856686026884095,0.08130122722816517
ETHUSDT,100,0.0,fixed,191785,9.429643498534636,0.0,9.429643498534636,0.5983891899484954,383570.0,160.78640287127598,0.0,0.0,0.5665875850561827,0.00024941263135322997,-0.0002505817974080311,5.391540111223506,0.4916778422991702,0.06289765318059021
combined,100,0.0,fixed,343737,8.165206814146558,0.0,8.165206814146558,0.5063034450287729,329232.14937800705,83.61021865738009,0.0,0.0,0.5762079729560682,0.00009036682379000063,-0.0000876652325379964,5.337619629859456,0.4960151570599928,0.07003978866359266
BTCUSDT,100,2.0,fixed,151952,7.575823155157092,30.390400000000007,-22.81457684484291,0.46338011485995373,303904.0,-74.08707413927817,-74.08707413927817,-1.0,0.15118590081078234,0.00017451965280042728,-0.0002079704202128031,5.269564326089818,0.49856686026884095,0.08071002063364159
ETHUSDT,100,2.0,fixed,191785,9.429643498534636,38.35700000000001,-28.92735650146537,0.5983891899484954,383570.0,-128.1882175315538,-128.1882175315538,-1.0,0.2380582423025784,0.00027091986707221177,-0.0002826028642672862,5.391540111223506,0.4916778422991702,0.07064189000879093
combined,100,2.0,fixed,5624,0.13549975993876534,0.5379296873999466,-0.4024299274611812,0.008315973354311352,5379.296873999467,-3926.4225090947234,-3926.4225090947234,-0.40242992746118134,0.20039118065433856,0.00008090140715687957,-0.00010976335631020336,5.370337842460882,0.5037824203148034,0.0506441785226103
BTCUSDT,100,5.0,fixed,151952,7.575823155157092,75.97600000000001,-68.40017684484292,0.46338011485995373,303904.0,-72.27326154013564,-72.27326154013564,-1.0,0.024198431083500054,0.000263120048028087,-0.00046783118706081393,5.269564326089818,0.49856686026884095,0.07738963862480393
ETHUSDT,100,5.0,fixed,191785,9.429643498534636,95.89250000000003,-86.46285650146538,0.5983891899484954,383570.0,-154.05175814202957,-154.05175814202957,-1.0,0.06700211173970853,0.00036607655373800186,-0.0005094975282476805,5.391540111223506,0.4916778422991702,0.06545103140474766
combined,100,5.0,fixed,1855,0.04111696980194854,0.44672638223136163,-0.40560941242941323,0.002733117157988004,1786.9055289254466,-2065.4816938469908,-2065.4816938469908,-0.4056094124294133,0.05013477088948787,0.00009190087655584559,-0.00023504891824580412,5.31860084097035,0.46020306206869455,0.05140713652802461
BTCUSDT,100,7.0,fixed,151952,7.575823155157092,106.3664,-98.79057684484292,0.46338011485995373,303904.0,-71.94447669582622,-71.94447669582622,-1.0,0.009522744024428768,0.000342203918913886,-0.0006596840365138121,5.269564326089818,0.49856686026884095,0.07687843527650726
