date,model,scope,oos_r2,mse,mae,pearson_ic,rank_ic
2025-02-01,ridge,baseline,0.030262986794788227,9.615245964081255e-9,0.00005103677969526996,0.1769370259337406,0.17817174482232576
2025-02-02,ridge,baseline,0.012241665644427413,5.815253432085567e-8,0.0001487569676895868,0.11464232066938314,0.15156560652624276
2025-02-03,ridge,baseline,-0.00008914665973835945,1.8499779270435608e-7,0.0002704393404574561,0.03476885767036309,0.055071126258698026
2025-02-04,ridge,baseline,0.007261528172990084,7.663829944191637e-8,0.000176489749477262,0.08596860535551851,0.11995642104285312
2025-02-05,ridge,baseline,0.014485422506294143,3.6986568614320565e-8,0.0001251401246010505,0.12279028150608073,0.14930386718800814
2025-02-06,ridge,baseline,0.014201028815191363,3.352535532671326e-8,0.00011493709464166103,0.12046556245891125,0.14742622931564225
2025-02-07,ridge,baseline,0.009208897530751048,4.384914605937784e-8,0.00012365154375420116,0.09647087665776351,0.14310482785199324
2025-02-08,ridge,baseline,0.027077777465849606,7.393011359816782e-9,0.000044728145539934484,0.16481249938155526,0.136955019704431
2025-02-09,ridge,baseline,0.018019327417154174,1.5596914714261333e-8,0.00005859074657850408,0.1345417389421534,0.11952188688945356
2025-02-10,ridge,baseline,0.017050891463156637,2.1669161548548587e-8,0.00008558240492866739,0.13114624601198457,0.1526681706885263
2025-02-11,ridge,baseline,0.023663133551416138,1.697777070357153e-8,0.00007269064848913127,0.15689410195483294,0.1758401641116886
2025-02-12,ridge,baseline,0.016984657780814927,3.5389837134911344e-8,0.00009674983803674278,0.13528765963269296,0.16995858731457808
2025-02-13,ridge,baseline,0.01572100288363565,2.2083998147749503e-8,0.00008654562133030042,0.12559126913398233,0.16864281320165175
2025-02-14,ridge,baseline,0.019943008262543693,1.73851439831236e-8,0.00007354814290474055,0.14211324727109287,0.15004465590851687
2025-02-15,ridge,baseline,0.019501518213420166,4.808115253872422e-9,0.00003466908350547946,0.15051754468990017,0.08441616100183279
2025-02-16,ridge,baseline,0.025250195295773326,5.02287099407324e-9,0.00003367583458727908,0.1650590164568996,0.07659449176896102
2025-02-17,ridge,baseline,0.018838596375254202,1.2019269809276652e-8,0.0000600263426293955,0.13927814756873275,0.13246823447793873
2025-02-18,ridge,baseline,0.013389730722654036,2.3159934548180274e-8,0.0000901981686455016,0.11587721344709175,0.1437172797007881
2025-02-19,ridge,baseline,0.01642118887950017,1.365760488556131e-8,0.00006488158974508529,0.12855169005474948,0.122472800986301
2025-02-20,ridge,baseline,0.015879789337842842,1.0865831689118661e-8,0.000056534510244486587,0.12864034845736444,0.11210615866600156
2025-02-01,ridge,expanded,0.06758368920982682,9.245199520162592e-9,0.00005197414851508489,0.26035698537605223,0.3002358942547653
2025-02-02,ridge,expanded,0.024291584225431095,5.7443116562004307e-8,0.00014791841955939537,0.15970367386438952,0.22109013251246357
2025-02-03,ridge,expanded,0.0020079124510601343,1.8460987597916795e-7,0.00026985418320179676,0.05589053301744681,0.09656632781529007
2025-02-04,ridge,expanded,0.0198357654902912,7.566758238790363e-8,0.00017535727365927366,0.14332732049674599,0.19718602316817763
2025-02-05,ridge,expanded,0.0344084311191406,3.623885392608457e-8,0.00012432634710239337,0.18885266969654063,0.23262164505193614
2025-02-06,ridge,expanded,0.034867373299837356,3.2822527912195616e-8,0.00011462890638972029,0.18946648108670544,0.23883461001498899
2025-02-07,ridge,expanded,0.025588159445147696,4.312425395423151e-8,0.0001233169646401503,0.16126089808684846,0.23223812833874707
2025-02-08,ridge,expanded,0.05594142014265968,7.173683202588005e-9,0.00004696598961714895,0.24134337928910735,0.2551819078039632
2025-02-09,ridge,expanded,0.04111191798561009,1.5230132377618988e-8,0.00006005793874698254,0.20283567872813868,0.24984825870456073
2025-02-10,ridge,expanded,0.043214670237869623,2.1092379755813007e-8,0.0000857487943525331,0.20931943615467738,0.25753855025504924
2025-02-11,ridge,expanded,0.052370165489861065,1.6478576805871132e-8,0.00007316396105984198,0.23040787359011577,0.2799149293583537
2025-02-12,ridge,expanded,0.029041226220016925,3.495578491299379e-8,0.00009732875306222129,0.17166238474993542,0.25326677292156713
2025-02-13,ridge,expanded,0.03804502885379768,2.1583120094250723e-8,0.0000865948256588936,0.1959048823507859,0.2584351839139262
2025-02-14,ridge,expanded,0.04242803822926311,1.698628403239435e-8,0.00007439160449328975,0.206955173611727,0.23898093279512367
2025-02-15,ridge,expanded,0.03755476162040594,4.719586738408694e-9,0.000036501903936214084,0.219803855435421,0.1979329261454212
2025-02-16,ridge,expanded,0.03845628783498245,4.954820199048594e-9,0.00003569767537863162,0.2165063068452208,0.17314474031998361
2025-02-17,ridge,expanded,0.047908140874132754,1.1663166626585201e-8,0.000060546063618320165,0.21900272428521736,0.23440422998157984
2025-02-18,ridge,expanded,0.0334083856378653,2.2690011669799463e-8,0.00009010002913123557,0.1837269335782691,0.22235259619770248
2025-02-19,ridge,expanded,0.042634084650760906,1.3293622488520413e-8,0.00006532764849279849,0.20702409603377744,0.22516941484343575
2025-02-20,ridge,expanded,0.035235640389307044,1.065212058203415e-8,0.00005780739484407508,0.1938975290944289,0.20669643016566755
2025-02-01,xgboost,expanded,0.08549424847812315,9.067610719927261e-9,0.00005022303396946073,0.29596512873367076,0.34720377292103827
2025-02-02,xgboost,expanded,0.02909603862416177,5.7160262761031304e-8,0.00014756682528206512,0.17354488503796606,0.23339559222952805
2025-02-03,xgboost,expanded,0.0051073483521005825,1.8403653828998704e-7,0.0002697767356470605,0.07434987945590235,0.10603939248656953
2025-02-04,xgboost,expanded,0.024031561261867007,7.534367164820235e-8,0.0001752225085463594,0.15716057609051168,0.20947286951386873
2025-02-05,xgboost,expanded,0.04003299615878886,3.602776282148246e-8,0.00012412789689707863,0.20243060916421626,0.24606595754604724
2025-02-06,xgboost,expanded,0.03974156718176158,3.2656764823980525e-8,0.000114317736468402,0.20097635486913432,0.2532239221124441
2025-02-07,xgboost,expanded,0.0298640201877719,4.293501846173908e-8,0.00012295407068185874,0.17387674250507312,0.2491718288033113
2025-02-08,xgboost,expanded,0.07316532473098325,7.042802727938947e-9,0.00004514469544033961,0.2719225851453083,0.306010331577216
2025-02-09,xgboost,expanded,0.05049087895741622,1.5081165235525545e-8,0.00005826206337952938,0.22607454504605584,0.2975002273065319
2025-02-10,xgboost,expanded,0.05142964435977526,2.091128024636875e-8,0.00008482032342309641,0.2285988056993865,0.2883033687786505
