fold,date,task,model,scope,oos_r2,mse,mae,pearson_ic,rank_ic,roc_auc,pr_auc,brier,accuracy,class_balance
3,2025-01-25,regression,linear,baseline,0.02009464324117949,8.322305439959988e-9,0.00004403649072183392,0.14327894917734466,0.13066815919135674,,,,,
3,2025-01-26,regression,linear,baseline,0.012272162231187544,9.285116076593881e-9,0.000039202920583399524,0.11641362714345566,0.08657646867530092,,,,,
3,2025-01-22,regression,linear,expanded,0.030171997993358235,3.4163725298700666e-8,0.00011249345701046281,0.17559028770096344,0.23648273530752792,,,,,
3,2025-01-23,regression,linear,expanded,0.007121931319614361,1.4890567012428717e-7,0.0001965534657526221,0.0852852200596737,0.16342215378507866,,,,,
3,2025-01-24,regression,linear,expanded,0.03305792912062444,3.1833540662761444e-8,0.00010733632113089636,0.18427211866573437,0.2364674320963899,,,,,
3,2025-01-25,regression,linear,expanded,0.05337867546454489,8.039625198928818e-9,0.00004509576388233954,0.23218889863204176,0.2630194620570793,,,,,
3,2025-01-26,regression,linear,expanded,0.026716694015491704,9.149330540172965e-9,0.00004109985245971171,0.1736063189116793,0.1939439335363648,,,,,
3,2025-01-22,regression,ridge,baseline,0.012144521591035407,3.479877166812232e-8,0.00011264912172335352,0.11071539819497495,0.1499664010874641,,,,,
3,2025-01-23,regression,ridge,baseline,0.003772550407722064,1.49407989416977e-7,0.00019731198594043694,0.06332554827553785,0.08626449423124426,,,,,
3,2025-01-24,regression,ridge,baseline,0.012024597569352147,3.252599725905153e-8,0.00010786918857157325,0.10965507547404392,0.13546363941509684,,,,,
3,2025-01-25,regression,ridge,baseline,0.02009464692414986,8.322305408680645e-9,0.00004403648843096646,0.14327895289185577,0.13066816849557553,,,,,
3,2025-01-26,regression,ridge,baseline,0.012272169140613687,9.285116011641957e-9,0.00003920291806723837,0.11641363784292269,0.08657649104027394,,,,,
3,2025-01-22,regression,ridge,expanded,0.03017190561906291,3.416372855273129e-8,0.0001124934651362969,0.1755900148028622,0.23648253395930632,,,,,
3,2025-01-23,regression,ridge,expanded,0.007121973529682024,1.4890566379388403e-7,0.0001965534364287147,0.08528540113744078,0.16342194710885133,,,,,
3,2025-01-24,regression,ridge,expanded,0.033057804000918956,3.183354478193608e-8,0.00010733633264397683,0.18427173439164585,0.23646710872548893,,,,,
3,2025-01-25,regression,ridge,expanded,0.05337778175401553,8.039632789184302e-9,0.000045095817348711846,0.2321872100432007,0.2630189957479526,,,,,
3,2025-01-26,regression,ridge,expanded,0.026716068405881033,9.149336421203779e-9,0.00004109993371237677,0.17360524936322214,0.19394354835926872,,,,,
3,2025-01-22,classification,logistic,baseline,,,,,,0.5884712853520946,0.4842398014590834,0.237759584457868,0.5899798578473364,0.41409487648461557
3,2025-01-23,classification,logistic,baseline,,,,,,0.5637041307443813,0.4931297978688868,0.24914630807337493,0.551429563606899,0.45114017826137287
3,2025-01-24,classification,logistic,baseline,,,,,,0.5720276411183398,0.4744737618623179,0.23980002140011605,0.5865848718097112,0.41579952543549975
3,2025-01-25,classification,logistic,baseline,,,,,,0.5811085409186423,0.40804538715807165,0.21948388690683204,0.669024192614886,0.33037388586641975
3,2025-01-26,classification,logistic,baseline,,,,,,0.5820035077203438,0.39681462484598484,0.21573786965734917,0.6852760736196319,0.3150364625535363
3,2025-01-22,classification,logistic,expanded,,,,,,0.6318851539878837,0.528285831103062,0.23059977859027492,0.6182946310744797,0.41409487648461557
3,2025-01-23,classification,logistic,expanded,,,,,,0.6065060053879565,0.5288519400404696,0.24209763882383198,0.578215071188795,0.45114017826137287
3,2025-01-24,classification,logistic,expanded,,,,,,0.6278473370996973,0.5260520404449092,0.2323306197804584,0.6087968053706811,0.41579952543549975
3,2025-01-25,classification,logistic,expanded,,,,,,0.6420181274280639,0.46828561670138263,0.21063507368571133,0.6839564764440329,0.33037388586641975
3,2025-01-26,classification,logistic,expanded,,,,,,0.6205619133138915,0.42875869514515386,0.21019654035030058,0.6913647412895011,0.3150364625535363
4,2025-01-27,regression,training_mean,reference,0.0,8.861735689069401e-8,0.00020275877838184304,-4.131863101186924e-16,0.0,,,,,
4,2025-01-28,regression,training_mean,reference,0.0,3.6263849157954646e-8,0.00011418377898350545,-1.8221151239763806e-16,0.0,,,,,
4,2025-01-29,regression,training_mean,reference,0.0,4.216442935513806e-8,0.00010836062122226369,-1.4253857315797302e-17,0.0,,,,,
