date,oos_r2,mse,mae,pearson_ic,rank_ic
2025-02-21,0.02944963468700834,2.7511098740793614e-8,0.00009080094745624597,0.17164352670100058,0.222841884348127
2025-02-22,0.05249908109065793,3.83425706874291e-9,0.00003073359781388911,0.250414062587906,0.24266127583012495
2025-02-23,0.04719139214398427,3.75921417933946e-9,0.00003024511741059009,0.24213492053364505,0.2345130759211504
2025-02-24,0.044947540877233516,3.268277464929625e-8,0.00010631963504571084,0.2165926487542943,0.27609824190038784
2025-02-25,0.018394986156487936,1.156387138068286e-7,0.00022910240617108582,0.13706707372695798,0.16924536069358986
2025-02-26,0.015387745453457113,9.902849883196542e-8,0.000188262621012224,0.12412742082623418,0.17677187509428918
2025-02-27,0.01966021334638468,6.674807963112428e-8,0.00017307106050507373,0.14079315464621223,0.17565295538896014
2025-02-28,0.007977920868172172,1.8347404579150088e-7,0.0002890560729783041,0.08962704881799126,0.10571701244371937
2025-03-01,0.04700232874400201,2.4104570102854127e-8,0.00009415920912242102,0.22589154610044304,0.27823754538981804
2025-03-02,0.01244647448192615,9.317517646034764e-8,0.0001614839847504813,0.11622734856890142,0.2086273580930908
