date,trades,gross_pnl,cost_pnl,net_pnl
2025-02-21,6932,0.25496291862823117,4.852399999999999,-4.597437081371769
2025-02-22,3967,0.13071750106636237,2.776899999999999,-2.646182498933637
2025-02-23,3797,0.10915444707395505,2.6578999999999997,-2.5487455529260448
2025-02-24,8345,0.37049583570053957,5.841499999999998,-5.47100416429946
2025-02-25,11501,0.3740705258718362,8.050699999999999,-7.676629474128164
2025-02-26,10143,0.39086935140128787,7.1001,-6.709230648598713
2025-02-27,10658,0.2994076276143295,7.460600000000001,-7.161192372385671
2025-02-28,11722,0.2372164032459,8.2054,-7.968183596754101
2025-03-01,9402,0.3705559367182818,6.5814,-6.210844063281718
2025-03-02,9938,0.31116708303597107,6.9566,-6.64543291696403
